Id;Nombre;Empresa;Contacto
1;Marta Gomez;Los Patitos SA;marta.gomez@info.com
2;Julian Quiros;Universidad Tecnica Nacional;julian.quiros@info.com
3;Pedro Mora;Union Libre de Mercadeo;pedro.mora@info.com
4;Estela Vargas;Distribuidora Lanco;estela.vargas@info.com
5;Johan Montero;Distribuidora Hermanos Montero;johan.montero@info.com
6;Cristina Fallas;Fundidora Blanco Fallas;cristina.fallas@info.com
7;Anthony Monge;Autoservicios GYG;anthony.monge@info.com
8;Ramon Camacho;United Fruit Company;ramon.camacho@info.com
9;Jeronimo Diaz;Banana Chiquita;jeronimo.diaz@info.com
10;Pablo Piedra;Asociacion de Contadores del Norte;pablo.piedra@info.com
11;Tamara Robles;Central Politecnica de Desarrollo de software;tamara.robles@info.com
12;Miranda Torres;Servicio de Infraestructuras Tecnologias Torres;miranda.torres@info.com
13;Camila Ramos;Asociacion Energetica;camila.ramos@info.com
